,159507.XSHE,159611.XSHE,159619.XSHE,159766.XSHE,159825.XSHE,159852.XSHE,159869.XSHE,159870.XSHE,159928.XSHE,159930.XSHE,159996.XSHE,512010.XSHG,512170.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512800.XSHG,512880.XSHG,512980.XSHG,515030.XSHG,515790.XSHG,515880.XSHG,516110.XSHG,561320.XSHG
2020-11-27,-13.266172193853587,-28.725479287903728,0.22428171802666685,2.4684593685613807,-19.91007800245331,6.539176818553352,2.5152681478682197,-9.293285571320729,-13.25530008879671,8.028815665295589,3.916016025136813,-7.065817107744771,-14.085260437313224,8.518440140241486,9.324007025600272,3.3562390720971313,-11.984258214796624,11.848665508382691,-0.6360723042162454,-9.696415185676637,14.601752603482188,0.2621032933587057,10.662150013753491,13.588576334801747,12.489958340649826
2020-11-30,-13.5361181767484,-28.63511221594336,-0.14373684199691703,2.698263243552834,-19.978167804875,6.411989005804908,2.037190060991598,-8.802891358973632,-13.569748034767146,8.587815136236257,4.613845095219807,-6.242117091459719,-13.605215360169833,9.173601566359642,9.794747027871272,8.256915033075678,-12.296277278666834,13.10429514321338,0.17127766445556497,-9.337932306158113,15.728534895011661,0.6856944733163154,11.67569337317556,13.676114684515873,12.42839170906329
2020-12-01,-13.818993437861687,-28.384143028462866,-0.4409089631093291,2.993625652751947,-20.24740814157663,6.329931777618318,1.2965036559041545,-8.489653492414915,-13.309174547664613,9.266210406958992,5.414704605043795,-5.2247884354743785,-12.917001251870387,9.860747839412006,10.610258856832303,9.15593577389735,-12.295903549921114,14.675280898164056,0.8020934457147739,-8.875919591823523,17.152328535155917,1.487262183450957,12.884750783946357,13.66073070215678,12.254384728201934
2020-12-02,-14.140698694083694,-27.799762961914062,-0.7405946830864157,3.251178718142241,-20.169897921133266,6.373061931134865,0.5249622796663732,-8.276181923277386,-13.06213603707017,9.919542860622705,6.182188969878848,-4.579486352384059,-12.384086533422957,10.269739194048984,11.38816614156124,10.218255349893985,-12.586942921122976,16.44430786570101,1.3466067303128284,-8.636898557538446,18.98466941024017,2.3194936672964217,14.646763670280576,14.016689138804365,12.11923871330002
2020-12-03,-14.517871070676984,-26.68389494829119,-1.1740194676608364,3.429979963691298,-19.856791192484977,6.510482704275562,-0.2316929423096609,-7.938686935456791,-12.564513220203795,10.502117344906456,6.821167851631407,-3.8575281500606056,-11.916760420829496,10.513958433977233,12.318335433174287,11.664705626948509,-13.215577098350147,17.67902870057579,1.7494405749814546,-8.336682663051999,20.5588050874904,3.1631838824374188,16.222883815160024,13.98750546396922,11.995180380118509
2020-12-04,-14.80397096015709,-25.553130537326194,-1.6580663083141236,3.725095339960797,-19.54066305318108,6.662849441807982,-0.9780634091034551,-7.411252387783504,-12.162767201731887,11.191217463631109,7.734884076464157,-3.2526880403789176,-11.616186623585744,10.478045753670168,13.027375871009797,13.24756685780243,-13.260741115070463,18.740764912668965,2.170245603718513,-8.027642496006612,21.937160489521975,4.031046123752062,17.748410611110263,14.030410215537218,12.207522682150977
2020-12-07,-15.106982450417624,-24.64588243745116,-2.290768909049729,3.9342059229178563,-19.19828516505952,6.820364584648183,-1.7216807089290247,-6.867714251503923,-12.37057163314852,11.912821061571307,8.474229395921398,-2.6217003647301946,-11.149891678334551,10.097282446364224,13.649606511832427,13.741676420012764,-13.18283043779066,19.458974299490936,2.603785419755802,-7.751121754687482,22.21796541598218,4.73182037693785,18.04817521595275,13.719230654109593,12.404083869161875
2020-12-08,-15.319382311855698,-23.534013392626584,-3.07458453972153,4.218996507620346,-19.844441995385857,6.986202877025407,-2.537967119507882,-6.236894114418171,-11.551148045835637,12.579791779872624,9.284396612239362,-2.110349684987272,-10.696808878064736,9.54209104525704,14.142223157196431,13.753882133389626,-13.083574275701505,19.765684145785926,2.921599763552963,-7.627345686051484,22.436162691251543,5.6229812285277285,13.873685818466067,13.361258049714396,12.62243569657896
2020-12-09,-15.451312480906594,-22.15045920126218,-3.7657619884908757,4.472673356111574,-19.990061593613472,7.219350975266429,-3.304744603398918,-5.451982232711334,-10.501576924332817,13.371599699011083,10.035135568016331,-1.6566329558062272,-10.181483797544557,8.812577442429472,14.76890015398659,14.010030739641966,-13.132228911086232,20.7226473128117,3.2924456706792404,-7.558113379753275,22.436082759361508,6.712389577840208,11.544856786187774,13.02951182142324,13.120871750789362
2020-12-10,-15.643606003810323,-20.596597561028833,-4.3222632127583385,4.710762124325212,-19.84779570294924,7.382532499717607,-4.018707637049423,-4.603617791805827,-10.097687029327805,14.161039409519688,10.678969406554288,-1.2929174874610383,-9.64004052262593,7.958087241311913,15.10988749039035,14.623187576378335,-13.136078071162666,21.340023584323355,3.6837216588185138,-7.607307120400891,22.38687999293724,7.527298837786191,9.524984963961707,12.458841142059082,13.819536890018307
