,ETF,Buy_Date,Sell_Date,Buy_Price,Sell_Price,Quantity,Profit
134,512170.XSHG,2021-11-24,2021-12-06 11:30:00,0.711,0.689,5900,-129.80000000000013
135,159930.XSHE,2021-12-01,2021-12-17 10:30:00,0.875,0.933,4500,261.0000000000002
136,159870.XSHE,2021-12-08,2021-12-20 11:30:00,1.024,0.993,4000,-124.00000000000011
137,515030.XSHG,2021-12-10,2021-12-16 10:30:00,2.602,2.517,1600,-135.99999999999994
138,512800.XSHG,2021-12-15,2022-02-11 15:00:00,1.149,1.228,3800,300.1999999999998
139,159766.XSHE,2021-12-21,2022-01-05 14:00:00,0.954,1.026,4200,302.40000000000026
140,159996.XSHE,2021-12-21,2022-01-07 15:00:00,1.244,1.313,3300,227.69999999999985
141,515880.XSHG,2021-12-21,2022-01-12 11:30:00,1.113,1.078,3700,-129.49999999999972
142,512980.XSHG,2022-01-12,2022-01-21 10:30:00,0.843,0.811,5000,-159.99999999999957
143,159869.XSHE,2022-01-17,2022-01-21 10:30:00,1.107,1.051,3800,-212.80000000000018
144,512200.XSHG,2022-01-17,2022-01-27 10:30:00,0.821,0.795,5200,-135.19999999999953
145,159766.XSHE,2022-01-28,2022-02-11 14:00:00,1.048,1.135,3800,330.59999999999985
146,512800.XSHG,2022-02-16,2022-03-07 10:30:00,1.199,1.161,3500,-133.0000000000001
147,159611.XSHE,2022-02-25,2022-03-08 15:00:00,0.938,0.905,4600,-151.7999999999996
148,159928.XSHE,2022-03-01,2022-03-04 11:30:00,1.135,1.098,3800,-140.5999999999997
149,159611.XSHE,2022-03-10,2022-03-11 11:30:00,0.94,0.902,4400,-167.19999999999965
150,515790.XSHG,2022-03-16,2022-03-22 15:00:00,1.535,1.485,2700,-134.99999999999952
151,515030.XSHG,2022-04-01,2022-04-07 10:30:00,1.966,1.893,2000,-145.99999999999991
152,512880.XSHG,2022-04-08,2022-04-11 15:00:00,0.966,0.936,4200,-125.99999999999964
153,159766.XSHE,2022-04-12,2022-04-13 15:00:00,1.023,0.985,3900,-148.1999999999997
154,159996.XSHE,2022-04-12,2022-04-25 14:00:00,0.986,0.951,4100,-143.5000000000001
155,512170.XSHG,2022-04-12,2022-04-20 10:30:00,0.546,0.529,7400,-125.80000000000011
156,512880.XSHG,2022-04-12,2022-04-19 14:00:00,0.967,0.933,4200,-142.79999999999967
157,159825.XSHE,2022-04-18,2022-04-21 11:30:00,0.977,0.945,3900,-124.80000000000011
158,512800.XSHG,2022-04-22,2022-04-25 15:00:00,1.164,1.114,3300,-164.9999999999994
159,159928.XSHE,2022-04-27,2022-05-09 11:30:00,1.01,0.979,3700,-114.7000000000001
160,513050.XSHG,2022-05-13,2022-05-31 15:00:00,1.004,1.071,3700,247.8999999999998
161,512170.XSHG,2022-05-20,2022-05-24 14:00:00,0.518,0.502,7400,-118.4000000000001
162,159619.XSHE,2022-05-25,2022-07-01 14:00:00,0.88,0.931,4300,219.30000000000018
163,159825.XSHE,2022-05-25,2022-06-14 11:30:00,0.917,0.977,4100,245.99999999999977
164,159852.XSHE,2022-05-25,2022-06-01 14:00:00,0.695,0.735,5500,220.0000000000002
165,159996.XSHE,2022-06-10,2022-06-21 14:00:00,1.028,1.103,3900,292.49999999999983
166,159766.XSHE,2022-06-14,2022-06-21 11:30:00,0.906,0.96,4400,237.5999999999997
167,512800.XSHG,2022-06-14,2022-07-14 10:30:00,1.108,1.071,3600,-133.20000000000053
168,512660.XSHG,2022-06-23,2022-07-21 10:30:00,1.145,1.199,3700,199.80000000000018
169,515880.XSHG,2022-06-23,2022-07-21 11:30:00,0.883,0.952,4900,338.09999999999974
170,513050.XSHG,2022-07-04,2022-07-11 10:30:00,1.181,1.139,3300,-138.60000000000014
171,512010.XSHG,2022-07-14,2022-07-18 10:30:00,0.542,0.522,7100,-142.0000000000001
172,512170.XSHG,2022-07-14,2022-07-18 10:30:00,0.577,0.555,6700,-147.39999999999938
173,159619.XSHE,2022-07-18,2022-08-02 10:30:00,0.927,0.87,4000,-228.0000000000002
174,159930.XSHE,2022-07-18,2022-07-21 15:00:00,1.12,1.086,3300,-112.2000000000001
175,515790.XSHG,2022-07-22,2022-07-25 14:00:00,1.726,1.669,2400,-136.79999999999984
176,515790.XSHG,2022-07-27,2022-08-03 11:30:00,1.759,1.706,2300,-121.89999999999985
177,516110.XSHG,2022-07-27,2022-08-10 14:00:00,1.232,1.195,3400,-125.79999999999973
178,512660.XSHG,2022-08-03,2022-08-05 10:30:00,1.226,1.187,3100,-120.89999999999976
179,515880.XSHG,2022-08-03,2022-08-11 14:00:00,0.929,0.984,4200,230.99999999999974
180,159852.XSHE,2022-08-05,2022-08-16 10:30:00,0.819,0.794,4700,-117.49999999999959
181,159869.XSHE,2022-08-05,2022-09-15 14:00:00,0.79,0.76,4900,-147.00000000000014
