,ETF,Buy Date,Buy Price,Sell Date,Profit/Loss
91,512480.XSHG,2022-02-14,1.07,2022-02-24 10:30:00,874.2000000000007
92,512660.XSHG,2022-02-07,1.194,2022-03-02 10:30:00,591.6000000000004
93,512660.XSHG,2022-03-07,1.202,2022-03-08 11:30:00,-354.8999999999978
94,512800.XSHG,2022-02-28,1.172,2022-03-08 15:00:00,-418.4999999999982
95,159930.XSHE,2022-03-14,0.98,2022-03-15 10:30:00,-518.3999999999996
96,159852.XSHE,2022-03-14,0.831,2022-03-15 15:00:00,-355.59999999999854
97,512800.XSHG,2022-03-28,1.122,2022-04-07 11:30:00,566.9999999999982
98,512170.XSHG,2022-04-11,0.528,2022-04-21 15:00:00,-345.09999999999854
99,159996.XSHE,2022-03-28,0.975,2022-04-25 15:00:00,-426.39999999999964
100,512880.XSHG,2022-04-25,0.889,2022-04-26 14:00:00,-406.0
101,159928.XSHE,2022-05-09,0.982,2022-06-07 14:00:00,500.0
102,512800.XSHG,2022-05-09,1.087,2022-08-02 10:30:00,-423.0
103,159619.XSHE,2022-06-13,0.898,2022-08-02 10:30:00,-322.0
104,516110.XSHG,2022-08-08,1.233,2022-08-10 14:00:00,-296.40000000000146
105,512660.XSHG,2022-08-15,1.229,2022-08-24 10:30:00,-304.0000000000018
106,512980.XSHG,2022-08-29,0.6,2022-09-14 10:30:00,-285.0
107,512980.XSHG,2022-09-19,0.553,2022-09-26 14:00:00,-284.40000000000146
108,159766.XSHE,2022-08-08,0.95,2022-09-29 10:30:00,525.2999999999993
109,159766.XSHE,2022-10-10,0.946,2022-10-11 10:30:00,-287.09999999999854
110,512800.XSHG,2022-10-17,1.022,2022-10-24 10:30:00,-329.2999999999993
111,512880.XSHG,2022-10-10,0.808,2022-11-14 14:00:00,800.3999999999996
112,512800.XSHG,2022-10-31,0.944,2022-11-16 14:00:00,678.8999999999996
113,512800.XSHG,2022-11-21,1.002,2022-12-01 15:00:00,588.0
114,159996.XSHE,2022-11-21,1.003,2022-12-12 10:30:00,539.0
115,512660.XSHG,2022-12-05,1.137,2022-12-13 15:00:00,-318.5
116,159870.XSHE,2022-12-19,0.775,2022-12-23 10:30:00,-316.7999999999993
117,159996.XSHE,2022-12-19,1.031,2023-01-16 14:00:00,782.1000000000022
118,512880.XSHG,2022-12-26,0.862,2023-01-30 14:00:00,1173.0
119,159996.XSHE,2023-01-30,1.105,2023-03-16 10:30:00,-336.60000000000036
120,159928.XSHE,2023-03-20,1.013,2023-03-31 11:30:00,592.8000000000011
121,512010.XSHG,2023-04-03,0.466,2023-04-25 14:00:00,-360.0
122,159611.XSHE,2023-02-06,0.871,2023-05-15 10:30:00,960.0
123,512200.XSHG,2023-05-22,0.634,2023-05-24 14:00:00,-401.10000000000036
124,159870.XSHE,2023-05-08,0.699,2023-05-25 11:30:00,-325.5
125,512170.XSHG,2023-05-29,0.452,2023-06-06 14:00:00,-344.40000000000146
126,512660.XSHG,2023-06-12,1.038,2023-06-21 10:30:00,624.0
127,159928.XSHE,2023-06-26,0.927,2023-07-31 11:30:00,885.6000000000004
128,159870.XSHE,2023-05-29,0.664,2023-08-03 11:30:00,651.2999999999975
129,512480.XSHG,2023-08-07,0.88,2023-08-11 15:00:00,-411.0
130,512660.XSHG,2023-08-07,1.067,2023-08-14 10:30:00,-392.0
131,516110.XSHG,2023-08-14,1.059,2023-08-21 14:00:00,-385.0
132,159930.XSHE,2023-08-21,1.152,2023-09-07 14:00:00,1109.9999999999982
133,561320.XSHG,2023-08-28,0.899,2023-10-09 11:30:00,-352.7999999999993
134,512660.XSHG,2023-10-16,0.973,2023-10-20 10:30:00,-361.60000000000036
135,512800.XSHG,2023-09-11,1.114,2023-10-30 10:30:00,-395.5000000000018
136,512660.XSHG,2023-10-23,0.927,2023-11-16 15:00:00,839.5
137,512200.XSHG,2023-11-20,0.574,2023-12-05 10:30:00,-401.9999999999982
138,159766.XSHE,2023-12-11,0.723,2023-12-18 10:30:00,-354.1999999999989
